record_type,case_id,budget,method_id,absolute_fci_error_hartree,cnot_count,total_depth,parameter_count,total_registered_work,terminal_status,reason,paired_eligible,classification
exclusion,h4-1.5-known-development,MEDIUM,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,MEDIUM,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,MEDIUM,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,HIGH,structural-magnitude-pruning,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,HIGH,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,HIGH,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,HIGH,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h6-1.5,LOW,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,CAP_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h6-1.5,LOW,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,CAP_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h6-1.5,LOW,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,CAP_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h6-1.5,MEDIUM,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,CAP_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h6-1.5,HIGH,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h6-3.0,LOW,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,CAP_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h6-3.0,LOW,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,CAP_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h6-3.0,LOW,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,CAP_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h6-3.0,MEDIUM,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h6-3.0,HIGH,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,lih-3.0,LOW,immutable-ceo-star-source,NA,NA,NA,NA,NA,FAILED_ENGINEERING_PRESERVED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,lih-3.0,LOW,structural-magnitude-pruning,NA,NA,NA,NA,NA,CAP_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,lih-3.0,LOW,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,lih-3.0,MEDIUM,structural-magnitude-pruning,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,lih-3.0,MEDIUM,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,lih-3.0,HIGH,structural-magnitude-pruning,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,lih-3.0,HIGH,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
paired_source_dominance,beh2-3.0,LOW,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,beh2-3.0,LOW,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,beh2-3.0,LOW,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,beh2-3.0,LOW,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,beh2-3.0,LOW,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,beh2-3.0,MEDIUM,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,beh2-3.0,MEDIUM,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,beh2-3.0,MEDIUM,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,beh2-3.0,MEDIUM,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,beh2-3.0,MEDIUM,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,beh2-3.0,HIGH,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,beh2-3.0,HIGH,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,beh2-3.0,HIGH,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,beh2-3.0,HIGH,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,beh2-3.0,HIGH,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h4-1.5-known-development,LOW,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,h4-1.5-known-development,LOW,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,LOW,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,LOW,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,LOW,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,MEDIUM,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,h4-1.5-known-development,MEDIUM,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,MEDIUM,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,MEDIUM,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,MEDIUM,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,HIGH,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,h4-1.5-known-development,HIGH,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,HIGH,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,HIGH,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h4-1.5-known-development,HIGH,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-1.5,LOW,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,h6-1.5,LOW,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-1.5,LOW,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-1.5,LOW,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-1.5,LOW,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-1.5,MEDIUM,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,h6-1.5,MEDIUM,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-1.5,MEDIUM,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-1.5,MEDIUM,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-1.5,MEDIUM,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-1.5,HIGH,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,h6-1.5,HIGH,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-1.5,HIGH,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-1.5,HIGH,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-1.5,HIGH,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-3.0,LOW,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,h6-3.0,LOW,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-3.0,LOW,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-3.0,LOW,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-3.0,LOW,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-3.0,MEDIUM,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,h6-3.0,MEDIUM,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-3.0,MEDIUM,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-3.0,MEDIUM,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-3.0,MEDIUM,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-3.0,HIGH,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,h6-3.0,HIGH,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-3.0,HIGH,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,h6-3.0,HIGH,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,h6-3.0,HIGH,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,lih-3.0,LOW,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,lih-3.0,LOW,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,lih-3.0,LOW,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,lih-3.0,LOW,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,lih-3.0,LOW,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,lih-3.0,MEDIUM,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,lih-3.0,MEDIUM,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,lih-3.0,MEDIUM,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,lih-3.0,MEDIUM,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,lih-3.0,MEDIUM,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,lih-3.0,HIGH,same-structure-reoptimization,NA,NA,NA,NA,NA,NA,NA,True,SOURCE_DOMINATES_COMPARATOR
paired_source_dominance,lih-3.0,HIGH,structural-magnitude-pruning,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,lih-3.0,HIGH,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,NA,source_or_comparator_not_COMPLETED_with_all_objectives,False,NA
paired_source_dominance,lih-3.0,HIGH,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
paired_source_dominance,lih-3.0,HIGH,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,NA,NA,True,NONDOMINATED_TRADEOFF_OR_TIE
