queue_index,queue_item_id,case_id,method_id,budget,terminal_status,metric_semantics,comparison_eligible,energy_hartree,FCI_energy_hartree,absolute_fci_error_hartree,delta_energy_vs_immutable_ceo_source_hartree,accepted_candidate_count,parameter_count,operators_blocks,logical_block_count,cnot_count,cnot_depth,total_depth,candidate_energy_evaluations,source_energy_evaluations,FCI_evaluations,production_N_dense_expm,total_registered_work,verifier_matrix_dimension,verifier_qubit_count,result_digest,receipt_digest,N_symbolic_checks,N_sparse_expm_multiply,N_state_probe_vectors,N_dense_expm,N_circuit_operator_builds,N_generator_materializations,candidate_generations,unique_semantic_candidates,unique_physical_states,rewrite_verifications,resource_recounts,optimizer_iterations,energy_evaluations,gradient_vector_evaluations,gradient_component_equivalents,hvp_evaluations,optimizer_starts,search_states,statevector_recomputations
10,s11-v2-item-v2:d5e019deb992b6dd42117bf1524d297785f9abd596ec14b2c8d753d0e44e8afc,lih-3.0,v5-fixed-source-whitelist-no-replenishment,MEDIUM,COMPLETED,accepted_result,True,-7.797904013347532,-7.7988431595024075,0.0009391461548755586,5.669121983409298e-06,2,13,13,13,96,30,151,100,0,0,0,1685,4096,12,664c6d8745b48ef69581c91ca44738b37047f409d1b00cc9474473a07ea735b4,a99174c9bfc9af8f344997374784c86ea614792c8ef3023c6f1c59359ba53070,29,0,0,0,300,0,29,29,29,8,69,8,100,73,998,0,4,0,9
11,s11-v2-item-v2:2be373ad1262441b1c8e5b16f9c93e2d408ae39ff6c4ca2725c008621207ecd4,lih-3.0,v5-sequential-with-rebuilding,MEDIUM,COMPLETED,accepted_result,True,-7.797904013347532,-7.7988431595024075,0.0009391461548755586,5.669121983409298e-06,2,13,13,13,96,30,151,100,0,0,0,1685,4096,12,fc11bea08878a5dd34f089ccaba4f3f391a9d18932605737a6dc2a162176bcc5,60d326e41eecedf98765941723bf9bd475adb3db115f92f3d510d9065bf989d4,29,0,0,0,300,0,29,29,29,8,69,8,100,73,998,0,4,0,9
12,s11-v2-item-v2:bcd39042fd96a227d05ad5f36c288a94636db507e1c7e651990b521823eb538c,lih-3.0,immutable-ceo-star-source,HIGH,COMPLETED,accepted_result,True,-7.797909682469515,-7.7988431595024075,0.0009334770328921493,0.0,0,15,15,15,107,30,171,0,0,0,0,2,0,0,1cdf758e301f4ba7a2a939cccc2374e77ca9264016ccfbabe06972bdbbdab8a7,9d874383c9948347c7f15e5eff0c806035ec986180eb72d8b2cdf6ba39e8222c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13,s11-v2-item-v2:f4f6e2153a95c8c8b1951a561d4c5812067910ce679e69c0174604ecf796402c,lih-3.0,same-structure-reoptimization,HIGH,COMPLETED,accepted_result,True,-7.797909682469515,-7.7988431595024075,0.0009334770328921493,0.0,1,15,15,15,107,30,171,1,0,0,0,8,0,0,b8e26250225d12541c93e33441461ed0365d5002974de009810511d71805fe40,22859694aa6ef74f89a5113aa5d0dea0833a288e1bd36dfedea6ab6298d4ca50,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
14,s11-v2-item-v2:4315022fda030e8c549a87aaca558c26beff18ad69da19d735f5c95821f2b12b,lih-3.0,structural-magnitude-pruning,HIGH,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-7.797909682469515,-7.7988431595024075,0.0009334770328921493,NA,0,15,15,15,107,30,171,50,0,0,0,862,4096,12,15d2cac8fe7b4e970ea419cf3a3335543208b0866ef7f18517ec664371b63d3f,6ec3d6d42c8d09d6d10fc69a9ff9e0cebd98cfbc187ec54f3a2c59eaf65a02a5,15,0,0,0,155,0,15,15,15,4,34,0,50,37,518,0,1,0,3
15,s11-v2-item-v2:7fed9bc30b206a069f685d11ebd39bab20974fd234d8c788664568e5299048a2,lih-3.0,v4.1-one-shot-joint-compression,HIGH,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-7.797909682469515,-7.7988431595024075,0.0009334770328921493,NA,0,15,15,15,107,30,171,12,0,0,0,235,4096,12,96090f91cccd2c2696424042e7ea262143f5485df14eafed1ad1f29b56682d44,1eb0c33c77765e228431d832a8a50c4b3d68b5f5f779c5b5fd673e804b95880a,4,0,0,0,45,0,4,4,4,4,12,10,12,11,121,0,1,0,3
16,s11-v2-item-v2:2b1b5d3525e80287b28f8ab876790555d95d43c2c216057ca058e79789b716bd,lih-3.0,v5-fixed-source-whitelist-no-replenishment,HIGH,COMPLETED,accepted_result,True,-7.797904013347532,-7.7988431595024075,0.0009391461548755586,5.669121983409298e-06,2,13,13,13,96,30,151,215,0,0,0,3098,4096,12,c8707fe7f905b8e52fcf771ad57f7c838cfb6bf2ca3d5cbe6fb499e5873ff6b6,602ea3bfe80a716e1211b3a2025653ef4d1a96f7632c570f93af8eddfaf1d21a,42,0,0,0,435,0,42,42,42,12,100,12,215,155,1982,0,6,0,13
17,s11-v2-item-v2:0f9ed783a6227e11a9268e1b0b3823a32be4ba4d8945bf83b20246c040079b14,lih-3.0,v5-sequential-with-rebuilding,HIGH,COMPLETED,accepted_result,True,-7.797904013347532,-7.7988431595024075,0.0009391461548755586,5.669121983409298e-06,2,13,13,13,96,30,151,215,0,0,0,3098,4096,12,e67b685d6167e2bb61211f747c27fd05d86c20ea6a16adc19883a98b051b14af,11ed793940a838a36f8fdccfec608de3f44db51d9a1869a04ec4139cdabf75b3,42,0,0,0,435,0,42,42,42,12,100,12,215,155,1982,0,6,0,13
18,s11-v2-item-v2:76e6863af265d33c1778c500ed76cd20ffdc6a91a47984cf1d7647701bc0d5ee,h6-1.5,immutable-ceo-star-source,LOW,COMPLETED,accepted_result,True,-2.994173530324659,-2.995565425831942,0.0013918955072833583,0.0,0,137,79,79,879,306,1595,0,0,0,0,2,0,0,0eedf2a31d0cb6d764b81c1eeb52f26a8c09579240d004245b52a0d78d61b08f,36985c15ef1bb031743595f39d6a1e750ac506dbdfc8e0f1981df850322d1fce,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19,s11-v2-item-v2:6129b3d7aff6e51d576beacf0a29ae31a75298144f54f530d39ee85b5e0fb494,h6-1.5,same-structure-reoptimization,LOW,COMPLETED,accepted_result,True,-2.994173530324659,-2.995565425831942,0.0013918955072833583,0.0,1,137,79,79,879,306,1595,1,0,0,0,8,0,0,78d7469f48b68f09884b73f5bca3e0e285a35c25525d73fbca793964223494bc,d4fecc46d9f57367bf9a67f085c8ead2f05d1fd0b90250e47cda2392e75da4c0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
20,s11-v2-item-v2:9daa6f18912747712a8dd08a6b6fb1ca45f67a7aad244c19fb04a04f80eb2cb2,h6-1.5,structural-magnitude-pruning,LOW,COMPLETED,accepted_result,True,-2.994173468083188,-2.995565425831942,0.0013919577487540025,6.22414706441532e-08,1,136,79,79,879,306,1595,12,0,0,0,9512,4096,12,a7310326718eb928a2fa707271a45c35e76308064dba899581623acaf55e5a2d,d08d9e24a67b28fb4c2f833d63ec5adee01008b7b51be945ae1b20aaf8ba3433,137,0,0,0,7150,0,137,137,137,4,278,9,12,11,1496,0,1,0,3
21,s11-v2-item-v2:71e739d57d2387afc4130ab125047e0986ae437e54bf3176ca2f1adc0c5efb41,h6-1.5,v4.1-one-shot-joint-compression,LOW,CAP_REJECTED,not_available,False,NA,-2.995565425831942,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,0,0,0,10517,4096,12,dd2949251c1f68867532ccddf20a2d9bc5e8e42b1ac1ca54f030018ef980cb40,3d77f4a25d5debe871ac2089fc690d4a533bc56c5683eae00d3377e75b46abac,22,30,9,0,243,8,4,4,4,4,10,68,77,76,9956,0,1,0,1
22,s11-v2-item-v2:b9e587bb7f9b2fc9240ff5e7a51b98a34f9665ab47208968e6259e3277e319c3,h6-1.5,v5-fixed-source-whitelist-no-replenishment,LOW,CAP_REJECTED,not_available,False,NA,-2.995565425831942,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,573e078c65b3e68fceebe78e1610a7503bf3300ce9576079f6f7b72f65f48bc3,253f333f4cd153f7a77636a84e21734145bdb00c9e62dce059a7c418009029fb,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
23,s11-v2-item-v2:dc3c97796d359265dba5760e23a7fc7575e0ad6c2aa098a6755d9cbe65297b60,h6-1.5,v5-sequential-with-rebuilding,LOW,CAP_REJECTED,not_available,False,NA,-2.995565425831942,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,5e555770b80249f9c37a68fa860cd23bc47fb84a37bfda80f53925eb6c43e416,061b25bfa4c9e255935d0fe86c9b5b67c3134218c968328f455c66604fa269f9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,s11-v2-item-v2:c1731fe399fc5c22a90651b925fea2157d083a26e44c73543e54d6a9e3add755,h6-1.5,immutable-ceo-star-source,MEDIUM,COMPLETED,accepted_result,True,-2.994173530324659,-2.995565425831942,0.0013918955072833583,0.0,0,137,79,79,879,306,1595,0,0,0,0,2,0,0,81edc99d2269181d5c8abad15306ad1d26b83aadf262258d95fe0c90afdcf7fa,0c22656b332e8bad9d93b7aa83fed1b0520dae10120d5eff8f9cebc51bca45d4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,s11-v2-item-v2:1ab5ef40db4bee1415e994a2d38ea5a4512848d546e39d7953a424c1546bc0d8,h6-1.5,same-structure-reoptimization,MEDIUM,COMPLETED,accepted_result,True,-2.994173530324659,-2.995565425831942,0.0013918955072833583,0.0,1,137,79,79,879,306,1595,1,0,0,0,8,0,0,8dfba9e87225a2d3d60e332b0ec98f59a305c430c70231db113c12fa6e821fc5,a38b3ade6e235a0b48778174b17a57ccd428f4444fb4cb040feba3bfc6fa1c38,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
26,s11-v2-item-v2:23b7ed962a8f0ea28d0cc5e224b7c2a8387c95b0981ec5456e91770a80e6e55c,h6-1.5,structural-magnitude-pruning,MEDIUM,COMPLETED,accepted_result,True,-2.9941729228518312,-2.995565425831942,0.0013925029801109545,6.074728275962116e-07,2,135,79,79,879,306,1592,24,0,0,0,18954,4096,12,09c2ca5cbe945cd09643e6f23904a1a5cc6e17af54573e59fb1f82195b9bc574,9bc628a050379107a6f5bf5044389bb9f6f16fc9cd02915bedf1cd8236562c8c,273,0,0,0,14248,0,273,273,273,8,553,19,24,22,2981,0,2,0,5
27,s11-v2-item-v2:64a9ee1b5b9779c791d3ad2adc256c7ebd8f3886aeac29cd73917e4a53390250,h6-1.5,v4.1-one-shot-joint-compression,MEDIUM,CAP_REJECTED,not_available,False,NA,-2.995565425831942,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,0,0,0,67325,4096,12,dd793afb1723f166079d5f236b62ae1177374ee233a0bdf8569da50a1ec3d878,b6bc156395ac309fb56f53d4ed74a9c7af4f45f3c3c8361e742eca8ccdecba41,22,30,9,0,243,8,4,4,4,4,10,484,501,500,65500,0,1,0,1
28,s11-v2-item-v2:7809ff950f7654f1eb50b793f7c3ea5b31037fff3f7a4406b041e70bb2988121,h6-1.5,v5-fixed-source-whitelist-no-replenishment,MEDIUM,COMPLETED,accepted_result,True,-2.994173522927487,-2.995565425831942,0.0013919029044551223,7.3971717640120005e-09,1,136,79,79,875,306,1584,9,0,0,0,19973,4096,12,5cd5fbe18b712d8cdab93d6d6cb4f08fb798659a49b801e243dc12cf099ab628,70ecbc233ecb60f96017212f8737f48c3b4eb387ed0808d0086b675360cb527f,452,42,12,0,16626,12,427,319,319,4,643,7,9,8,1088,0,1,0,4
29,s11-v2-item-v2:056a7ce2e2d84ec49143d6716ae094ad534e7ff31619fc6a42ba2c63db9fb68b,h6-1.5,v5-sequential-with-rebuilding,MEDIUM,COMPLETED,accepted_result,True,-2.994173522927487,-2.995565425831942,0.0013919029044551223,7.3971717640120005e-09,1,136,79,79,875,306,1584,9,0,0,0,19971,4096,12,6fa76a76b3ca829d3b4900a7a2e99f84350dcfc3f683d79c5025ddfdab4b4a35,467a33af35ad4b56f031e8b0529ff674a1eb7153dd5606cabb1b2e3bbc74e3a8,452,42,12,0,16626,12,427,319,319,4,642,7,9,8,1088,0,1,0,3
30,s11-v2-item-v2:3eada4ddadc2e16979ab1a674da0b63e3e5f12692ce614891a65fcb7da84b5fe,h6-1.5,immutable-ceo-star-source,HIGH,COMPLETED,accepted_result,True,-2.994173530324659,-2.995565425831942,0.0013918955072833583,0.0,0,137,79,79,879,306,1595,0,0,0,0,2,0,0,fcfb821ac7043b737cc8b62d0a93ae5757f59c220a0072d34d5903114f8f88cb,777762396da10ef28608e030c579f68d8fc44dc7f54049b2f2ba88a69fb2fa2e,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31,s11-v2-item-v2:fe7291a60e7f65d7cd285d41abe632028d15d1b299868983ebc5fbb0415bae4f,h6-1.5,same-structure-reoptimization,HIGH,COMPLETED,accepted_result,True,-2.994173530324659,-2.995565425831942,0.0013918955072833583,0.0,1,137,79,79,879,306,1595,1,0,0,0,8,0,0,cc91982f41f1026c07c6d9bf74b8226a2a61fa64ed6ef92a2973cbf097c65e87,e8f7bb4609f4a41e7e509d856345b88865f15c42c53f9ed1f039a0a4a7ac324b,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
32,s11-v2-item-v2:8000c982e7ae108fe18b60ee0f057ebf52c513c3206e641fdd58db8eed45034c,h6-1.5,structural-magnitude-pruning,HIGH,COMPLETED,accepted_result,True,-2.9941727950791743,-2.995565425831942,0.0013926307527678539,7.352454844955503e-07,4,133,78,78,877,305,1582,48,0,0,0,37627,4096,12,4320180b597fd2483d1a00ea2066414fda1a9d284db6f6142c887b05846e85af,d5812f16911dee2c71b0e2f5f9d5ed05be241a6e3befaedd9e489dd4e7576666,542,0,0,0,28288,0,542,542,542,16,1097,36,48,44,5917,0,4,0,9
33,s11-v2-item-v2:e96d4e87bd7d75c340c02c6983a5215141bd835b2737af3c11e940696159b329,h6-1.5,v4.1-one-shot-joint-compression,HIGH,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-2.994173530324659,-2.995565425831942,0.0013918955072833583,NA,0,137,79,79,879,306,1595,570,0,0,0,76573,4096,12,4b56b753abc667ff04a8ee065f86df0a08eac62b08f5dbacd9b9cfe88c037c91,c8431aa0ef84a25d203fe94244f940d3c2674c058a2d4531d4e6d6db8aa378e7,22,30,9,0,243,8,4,4,4,4,12,551,570,569,74539,0,1,0,3
34,s11-v2-item-v2:2b5b27b62c05b3531fe97f7cd25c73a8d2caaf0a90a501c6c5cdcf889e5eff55,h6-1.5,v5-fixed-source-whitelist-no-replenishment,HIGH,COMPLETED,accepted_result,True,-2.99417342078755,-2.995565425831942,0.001392005044392075,1.0953710871675071e-07,4,133,79,79,867,306,1562,37,0,0,0,78307,4096,12,7f846e8569cd1f9c64d9060608d34fb4c9b1f00ced8e23d32050586a03caf7d0,726f60363c97551272387a172f2ed7af7ff681af34c22cd556977f312dacd7cf,1754,141,39,0,65091,37,1669,1249,1249,16,2511,29,37,33,4439,0,4,0,9
35,s11-v2-item-v2:8aa3e676d0c32a12268a8686dd48d0be3e8cb7df96c3496c25480b886beced8b,h6-1.5,v5-sequential-with-rebuilding,HIGH,COMPLETED,accepted_result,True,-2.99417342078755,-2.995565425831942,0.001392005044392075,1.0953710871675071e-07,4,133,79,79,867,306,1562,37,0,0,0,78481,4096,12,fd3e2d255782369c018c72e29e452b004c13a66cedc705164637111f556aa7d5,3e18b8cd661d397d65cd4de40f56257e61d963c4fdbf743290661122fa1e26c1,1757,141,39,0,65247,37,1672,1252,1252,16,2517,29,37,33,4439,0,4,0,9
36,s11-v2-item-v2:e07526b7463b9fd15aad49a22fffd39355edcde24feddc05d191b42aba20375c,h6-3.0,immutable-ceo-star-source,LOW,COMPLETED,accepted_result,True,-2.7994516590123237,-2.800958899654442,0.0015072406421183793,0.0,0,149,95,95,785,294,1493,0,0,0,0,2,0,0,addda13914e5132a99276b3901eabd8cf6952450c097290407c2232b34207495,84f1561cb74189195b2a99ddfac8b6689da6922f41d546b5cc706cbdc6aedba1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37,s11-v2-item-v2:61b89eebbd13c30b89f9c0331fd0093f922d5e861427b4da3001168316d313ad,h6-3.0,same-structure-reoptimization,LOW,COMPLETED,accepted_result,True,-2.7994516590123237,-2.800958899654442,0.0015072406421183793,0.0,1,149,95,95,785,294,1493,1,0,0,0,8,0,0,f7f5e0d1e3d12775de273e1fefcf83dba57cecf847e96d042d93041575feadce,b3458d2452b715008e4ec11f7ce8b59767bd25d00d8c22570a32ac432efd7d08,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
38,s11-v2-item-v2:0f50f5850e67c1f97be9719d89f1d28fe0b6f073c91be230f1b291b8217d31d1,h6-3.0,structural-magnitude-pruning,LOW,COMPLETED,accepted_result,True,-2.799451658921053,-2.800958899654442,0.001507240733388926,9.127054667601442e-11,1,148,95,95,785,294,1493,8,0,0,0,10334,4096,12,bf9f3f79aff8aad82545e28f7111c82457b1f7b7d96f739dc74fc05bfb61309a,ed9f26a15b6385baca605a1891bff1242e55c5281cbcdc6228f41b7f7ccdd8e6,149,0,0,0,8372,0,149,149,149,4,302,5,8,7,1036,0,1,0,3
39,s11-v2-item-v2:4e491b2ba56ddbdc0cbfc96da10ce8a5fb77534761818243819de30b8f1bccb0,h6-3.0,v4.1-one-shot-joint-compression,LOW,CAP_REJECTED,not_available,False,NA,-2.800958899654442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,edb07fd4b2d7858066937ae85898469c8fa6b9fdc36de3761e8c19763dab52d8,886f3d64d5250b1d8673211eb0386c1837f8c059af34df56079e9727d323171b,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,s11-v2-item-v2:662b139cce5621bc168d4bbde9c4f6a4ea0e6c21afdc1f197517e78fc0bfb349,h6-3.0,v5-fixed-source-whitelist-no-replenishment,LOW,CAP_REJECTED,not_available,False,NA,-2.800958899654442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,b2a10423f897c63f837fdc297af2c5d9ff665f5f35aa924bd1525b84fabded36,0876f118e6d3f62e746680b4b499e8a2b063b5c17efa8f0d79c3b6ba0f92ce29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
41,s11-v2-item-v2:2d6bf03320a325dfcd4c42b191c69df297359ad5fdacaccd7d7e69a915e260d2,h6-3.0,v5-sequential-with-rebuilding,LOW,CAP_REJECTED,not_available,False,NA,-2.800958899654442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,70c2bb3ed730cbfba4717f3c4cc4278b6b9a82e622b0c2b71b68b49d12a3dc25,4ee393863953c9b7b88ca3dd812dab1c615ef199f631c6af9d8e6b5a4f5d53ce,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42,s11-v2-item-v2:f1aa99c0a8a58af91628e881ad718815580a80215fa64dd4b63d623c8dcaf5f8,h6-3.0,immutable-ceo-star-source,MEDIUM,COMPLETED,accepted_result,True,-2.7994516590123237,-2.800958899654442,0.0015072406421183793,0.0,0,149,95,95,785,294,1493,0,0,0,0,2,0,0,bb8a9d7773614c0e88fed61aab3aeb726e51d2934d4b7f0a0eb7aa84fa265cc6,1d5023449cec9fa4a72a15d5d375a5bd031f207c393a93a058e490b365f46891,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
43,s11-v2-item-v2:82ceb69fd747c6a7f0b48e7cd8d009db2c98de0974d29430e7c4b4c678a0d821,h6-3.0,same-structure-reoptimization,MEDIUM,COMPLETED,accepted_result,True,-2.7994516590123237,-2.800958899654442,0.0015072406421183793,0.0,1,149,95,95,785,294,1493,1,0,0,0,8,0,0,0d14f0827555a4603a9a77fc0785916fee86b4c3cf846e97edfc492ed4cc9e9c,210f848c01182a9d0f000605bd5bdb900e96ac360e3fef9e80a615a859f5ffe8,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
44,s11-v2-item-v2:162870c12a2721b0e7d9c9baece5cc32f778ad2c0aabd2804cd752c7940e7332,h6-3.0,structural-magnitude-pruning,MEDIUM,COMPLETED,accepted_result,True,-2.7994516557769242,-2.800958899654442,0.0015072438775178831,3.2353995038647554e-09,2,147,95,95,785,294,1490,17,0,0,0,20747,4096,12,81893799f22722fa827cf1490a54067ba9baa59e93abe4588b64fcd74cb95b3c,074e28ff9edcbc8bd0e87b6f87f64d632baa7e4d4da7228cddfa882708047e96,297,0,0,0,16688,0,297,297,297,8,601,11,17,15,2212,0,2,0,5
